BorrCity,BorrState,BorrZip,CDC_Name,CDC_City,CDC_State,CDC_Zip,ThirdPartyLender_City,ThirdPartyLender_State,ThirdPartyDollars,ApprovalDate,ApprovalFiscalYear,DeliveryMethod,subpgmdesc,NaicsCode,ProjectState,BusinessType,GrossChargeOffAmount,Default?
19,1,21,19,19,1,17,0,0,,19900110,1990,0,0,0,1,1,0.0,False
20,4,22,20,20,4,18,0,0,,19900111,1990,0,0,0,4,1,0.0,False
21,1,23,21,21,1,19,0,0,,19900111,1990,0,0,10,1,1,0.0,False
22,1,24,21,21,1,19,0,0,,19900112,1990,0,0,10,1,1,0.0,False
23,7,25,8,8,7,8,0,0,,19900112,1990,0,0,0,7,1,0.0,False
24,14,26,22,0,0,20,0,0,,19900112,1990,0,0,0,14,0,0.0,False
25,15,27,22,0,0,0,0,0,,19900112,1990,0,0,0,15,2,0.0,False
4,4,28,4,4,4,4,0,0,,19900116,1990,0,0,0,4,1,0.0,False
26,14,29,11,22,0,21,0,0,,19900116,1990,0,0,11,14,0,0.0,False
27,16,30,23,23,15,22,0,0,,19900117,1990,0,0,0,16,1,0.0,False
28,2,31,24,24,2,23,0,0,,19900117,1990,0,0,0,2,1,0.0,False
29,17,32,25,25,16,24,0,0,,19900117,1990,0,0,0,17,1,0.0,False
30,18,10,26,26,17,0,0,0,,19900117,1990,0,0,12,18,1,0.0,True
31,9,33,27,27,9,25,0,0,,19900117,1990,0,0,0,9,1,0.0,False
32,19,10,28,28,18,0,0,0,,19900117,1990,0,0,13,19,1,0.0,False
4,4,34,4,4,4,4,0,0,,19900117,1990,0,0,0,4,1,0.0,False
33,5,35,5,5,5,5,0,0,,19900117,1990,0,0,0,5,0,0.0,False
0,14,36,29,29,0,26,0,0,,19900118,1990,0,0,0,14,2,0.0,False
34,20,37,30,30,19,27,0,0,,19900118,1990,0,0,0,20,1,0.0,False
35,17,38,31,31,16,28,0,0,,19900118,1990,0,0,14,17,1,0.0,False
36,21,10,32,32,20,0,0,0,,19900118,1990,0,0,0,21,1,0.0,False
37,7,39,33,33,7,29,0,0,,19900118,1990,0,0,15,7,1,0.0,False
38,22,40,16,34,21,30,0,0,,19900118,1990,0,0,0,22,2,0.0,False
39,1,41,1,1,1,1,0,0,,19900119,1990,0,0,0,1,1,0.0,True
40,23,10,34,35,22,31,0,0,,19900119,1990,0,0,0,23,1,0.0,False
41,24,42,35,36,23,32,0,0,,19900119,1990,0,0,16,24,2,0.0,False
42,25,43,36,37,24,33,0,0,,19900119,1990,0,0,0,25,1,0.0,False
43,21,10,37,38,20,0,0,0,,19900119,1990,0,0,17,21,1,0.0,False
44,1,44,15,15,1,14,0,0,,19900119,1990,0,0,18,1,2,0.0,False
45,7,45,8,8,7,8,0,0,,19900122,1990,0,0,0,7,1,0.0,False
46,19,10,38,39,18,0,0,0,,19900122,1990,0,0,0,19,1,0.0,False
46,19,10,38,39,18,0,0,0,,19900122,1990,0,0,0,19,1,0.0,False
47,4,46,4,4,4,4,0,0,,19900122,1990,0,0,13,4,2,0.0,False
10,9,11,10,10,9,9,0,0,,19900122,1990,0,0,19,9,1,0.0,False
35,17,47,31,31,16,28,0,0,,19900123,1990,0,0,0,17,1,0.0,False
48,5,48,39,40,5,34,0,0,,19900123,1990,0,0,0,5,1,0.0,False
39,1,41,1,1,1,1,0,0,,19900123,1990,0,0,0,1,1,0.0,False
49,1,49,40,41,1,35,0,0,,19900123,1990,0,0,0,1,1,0.0,False
50,26,50,41,42,25,36,0,0,,19900124,1990,0,0,0,26,1,0.0,False
51,27,51,41,42,25,0,0,0,,19900124,1990,0,0,20,27,1,0.0,False
52,17,52,42,31,16,37,0,0,,19900124,1990,0,0,21,17,1,0.0,False
53,28,53,43,43,26,38,0,0,,19900125,1990,0,0,22,28,1,0.0,False
53,28,53,43,43,26,38,0,0,,19900125,1990,0,0,22,28,1,0.0,False
54,1,54,1,1,1,1,0,0,,19900125,1990,0,0,0,1,1,0.0,False
55,5,55,44,44,5,39,0,0,,19900125,1990,0,0,0,5,1,0.0,False
56,17,56,42,31,16,37,0,0,,19900126,1990,0,0,0,17,1,0.0,False
57,29,57,45,45,27,40,0,0,,19900126,1990,0,0,0,29,1,0.0,False
58,1,58,1,1,1,1,0,0,,19900126,1990,0,0,16,1,2,0.0,True
59,1,59,18,18,1,16,0,0,,19900126,1990,0,0,0,1,1,0.0,False
60,14,60,11,22,0,21,0,0,,19900126,1990,0,0,0,14,1,0.0,False
61,2,61,46,24,2,41,0,0,,19900126,1990,0,0,23,2,1,0.0,False
62,14,62,22,0,0,20,0,0,,19900126,1990,0,0,0,14,1,0.0,False
63,30,63,47,46,28,42,0,0,,19900129,1990,0,0,24,30,1,0.0,True
64,31,10,25,25,16,0,0,0,,19900129,1990,0,0,0,31,0,0.0,False
65,18,64,48,47,17,0,0,0,,19900129,1990,0,0,0,18,1,0.0,False
66,1,65,15,15,1,14,0,0,,19900129,1990,0,0,25,1,1,0.0,False
67,32,10,49,48,29,0,0,0,,19900129,1990,0,0,26,32,1,0.0,False
68,7,66,33,33,7,29,0,0,,19900129,1990,0,0,0,7,1,0.0,False
69,11,67,13,13,11,12,0,0,,19900130,1990,0,0,27,11,2,0.0,False
70,4,68,4,4,4,4,0,0,,19900130,1990,0,0,0,4,1,0.0,False
71,14,69,11,22,0,21,0,0,,19900130,1990,0,0,0,14,1,0.0,False
72,6,70,50,49,6,43,0,0,,19900130,1990,0,0,0,6,1,0.0,False
73,12,71,14,14,12,13,0,0,,19900130,1990,0,0,0,12,1,0.0,False
73,12,72,14,14,12,13,0,0,,19900130,1990,0,0,0,12,1,0.0,False
74,7,73,8,8,7,8,0,0,,19900130,1990,0,0,27,7,1,0.0,False
75,1,74,51,50,1,44,0,0,,19900130,1990,0,0,0,1,1,0.0,False
76,9,75,27,27,9,25,0,0,,19900130,1990,0,0,8,9,1,0.0,False
77,4,76,4,4,4,4,0,0,,19900131,1990,0,0,0,4,1,0.0,False
78,19,10,16,16,13,0,0,0,,19900131,1990,0,0,0,19,0,0.0,True
79,19,10,16,16,13,0,0,0,,19900131,1990,0,0,0,19,1,0.0,True
80,1,77,15,15,1,14,0,0,,19900131,1990,0,0,28,1,1,0.0,False
81,11,78,13,13,11,12,0,0,,19900131,1990,0,0,29,11,1,0.0,True
82,4,79,4,4,4,4,0,0,,19900131,1990,0,0,30,4,1,0.0,False
83,4,80,4,4,4,4,0,0,,19900131,1990,0,0,0,4,1,0.0,False
28,2,81,24,24,2,23,0,0,,19900201,1990,0,0,31,2,1,0.0,False
84,10,82,52,51,10,45,0,0,,19900201,1990,0,0,0,10,1,0.0,False
85,12,15,14,14,12,13,0,0,,19900201,1990,0,0,32,12,1,0.0,False
73,12,71,14,14,12,13,0,0,,19900201,1990,0,0,16,12,1,0.0,False
86,9,83,27,27,9,25,0,0,,19900201,1990,0,0,33,9,1,0.0,True
87,9,84,53,52,9,46,0,0,,19900201,1990,0,0,0,9,1,0.0,False
6,5,85,54,6,5,6,0,0,,19900201,1990,0,0,34,5,1,0.0,False
88,1,86,1,1,1,1,0,0,,19900201,1990,0,0,0,1,1,0.0,False
89,19,10,28,28,18,0,0,0,,19900202,1990,0,0,0,19,1,0.0,False
90,28,87,16,53,26,47,0,0,,19900202,1990,0,0,0,28,1,0.0,False
91,1,88,55,54,1,48,0,0,,19900202,1990,0,0,35,1,1,0.0,False
28,2,89,24,24,2,23,0,0,,19900202,1990,0,0,0,2,1,0.0,False
92,7,90,8,8,7,8,0,0,,19900202,1990,0,0,0,7,1,0.0,False
93,21,10,32,32,20,0,0,0,,19900202,1990,0,0,0,21,1,0.0,False
94,2,91,46,24,2,41,0,0,,19900205,1990,0,0,36,2,1,0.0,False
95,33,10,56,55,30,0,0,0,,19900206,1990,0,0,0,33,0,0.0,False
96,17,92,25,25,16,24,0,0,,19900206,1990,0,0,17,17,0,0.0,False
97,19,10,16,16,13,0,0,0,,19900206,1990,0,0,37,19,1,0.0,False
95,33,10,16,16,13,0,0,0,,19900206,1990,0,0,38,33,1,0.0,False
98,34,93,57,56,31,49,0,0,,19900207,1990,0,0,39,34,1,0.0,False
99,7,94,8,8,7,8,0,0,,19900207,1990,0,0,0,7,0,0.0,False
28,2,95,24,24,2,23,0,0,,19900208,1990,0,0,1,2,1,0.0,False
12,10,96,12,12,10,11,0,0,,19900208,1990,0,0,0,10,2,0.0,False
100,34,97,58,22,32,0,0,0,,19900208,1990,0,0,0,34,1,0.0,False
101,27,98,59,57,32,50,0,0,,19900208,1990,0,0,40,27,0,0.0,False
102,35,99,60,58,33,51,0,0,,19900208,1990,0,0,0,35,1,0.0,False
103,19,10,61,59,18,0,0,0,,19900208,1990,0,0,0,19,0,0.0,False
104,1,100,62,60,1,52,0,0,,19900209,1990,0,0,41,1,1,0.0,False
105,1,101,55,54,1,48,0,0,,19900209,1990,0,0,0,1,1,0.0,False
106,1,102,63,61,1,53,0,0,,19900209,1990,0,0,0,1,0,0.0,False
22,1,24,21,21,1,19,0,0,,19900209,1990,0,0,0,1,1,0.0,False
107,28,103,64,62,26,54,0,0,,19900212,1990,0,0,0,28,1,0.0,False
108,10,104,12,12,10,11,0,0,,19900212,1990,0,0,0,10,1,0.0,False
109,26,105,41,42,25,36,0,0,,19900212,1990,0,0,42,26,1,0.0,False
73,12,106,14,14,12,13,0,0,,19900212,1990,0,0,0,12,1,0.0,False
110,30,107,47,46,28,42,0,0,,19900212,1990,0,0,0,30,1,0.0,False
111,30,108,47,46,28,42,0,0,,19900212,1990,0,0,24,30,1,0.0,False
112,5,109,44,44,5,39,0,0,,19900213,1990,0,0,43,5,1,0.0,False
6,5,110,54,6,5,6,0,0,,19900213,1990,0,0,0,5,1,0.0,False
113,5,111,44,44,5,39,0,0,,19900213,1990,0,0,0,5,1,0.0,False
114,33,10,65,63,30,0,0,0,,19900214,1990,0,0,44,33,1,0.0,False
115,19,10,66,64,18,0,0,0,,19900214,1990,0,0,0,19,1,0.0,True
116,9,112,27,27,9,25,0,0,,19900214,1990,0,0,0,9,1,0.0,False
117,7,113,67,65,7,55,0,0,,19900214,1990,0,0,45,7,0,0.0,False
77,4,114,4,4,4,4,0,0,,19900214,1990,0,0,0,4,1,0.0,False
118,17,115,42,31,16,37,0,0,,19900215,1990,0,0,46,17,0,0.0,False
119,11,116,13,13,11,12,0,0,,19900215,1990,0,0,0,11,1,0.0,False
120,19,10,68,66,18,0,0,0,,19900216,1990,0,0,0,19,1,0.0,False
121,5,117,39,40,5,34,0,0,,19900216,1990,0,0,43,5,1,0.0,False
122,3,118,69,67,3,56,0,0,,19900216,1990,0,0,0,3,1,0.0,False
12,10,119,12,12,10,11,0,0,,19900216,1990,0,0,0,10,2,0.0,False
12,10,120,12,12,10,11,0,0,,19900216,1990,0,0,47,10,2,0.0,False
123,5,121,70,68,5,57,0,0,,19900216,1990,0,0,48,5,1,0.0,False
124,19,10,71,69,18,0,0,0,,19900216,1990,0,0,30,19,1,0.0,False
125,14,122,22,0,0,20,0,0,,19900216,1990,0,0,0,14,1,0.0,False
126,4,123,4,4,4,4,0,0,,19900220,1990,0,0,0,4,1,0.0,False
127,26,124,72,70,25,58,0,0,,19900220,1990,0,0,0,26,1,0.0,False
128,1,125,73,71,1,59,0,0,,19900220,1990,0,0,39,1,1,0.0,False
6,5,126,54,6,5,6,0,0,,19900220,1990,0,0,0,5,1,0.0,False
129,1,127,74,72,1,60,0,0,,19900221,1990,0,0,19,1,1,0.0,False
130,17,128,42,31,16,37,0,0,,19900221,1990,0,0,0,17,1,0.0,False
131,5,129,5,5,5,5,0,0,,19900221,1990,0,0,0,5,1,0.0,False
132,33,10,75,73,30,0,0,0,,19900221,1990,0,0,0,33,1,0.0,False
133,34,130,57,56,31,49,0,0,,19900221,1990,0,0,0,34,1,0.0,False
134,34,131,57,56,31,49,0,0,,19900221,1990,0,0,49,34,1,0.0,False
135,5,132,44,44,5,39,0,0,,19900222,1990,0,0,50,5,1,0.0,False
136,7,133,8,8,7,8,0,0,,19900222,1990,0,0,51,7,0,0.0,False
137,36,134,76,74,34,61,0,0,,19900222,1990,0,0,0,36,1,0.0,False
138,19,10,77,75,18,0,0,0,,19900222,1990,0,0,0,19,0,0.0,False
139,1,135,55,54,1,48,0,0,,19900222,1990,0,0,52,1,1,0.0,False
140,19,10,68,66,18,0,0,0,,19900223,1990,0,0,0,19,2,0.0,False
141,9,136,16,16,13,0,0,0,,19900223,1990,0,0,0,9,1,0.0,False
142,19,10,28,28,18,0,0,0,,19900223,1990,0,0,53,19,1,0.0,False
143,37,137,78,76,35,62,0,0,,19900223,1990,0,0,54,37,1,0.0,False
12,10,138,12,12,10,11,0,0,,19900223,1990,0,0,0,10,1,0.0,False
144,14,139,22,0,0,20,0,0,,19900223,1990,0,0,0,14,1,0.0,False
1,1,140,1,1,1,1,0,0,,19900223,1990,0,0,0,1,1,0.0,False
145,28,141,64,62,26,54,0,0,,19900223,1990,0,0,0,28,2,0.0,False
146,4,142,4,4,4,4,0,0,,19900223,1990,0,0,0,4,1,0.0,False
147,4,143,4,4,4,4,0,0,,19900223,1990,0,0,18,4,1,0.0,False
148,5,144,79,77,5,63,0,0,,19900227,1990,0,0,0,5,1,0.0,False
148,5,144,79,77,5,63,0,0,,19900227,1990,0,0,0,5,1,0.0,False
149,14,145,22,0,0,20,0,0,,19900227,1990,0,0,0,14,1,0.0,False
61,2,146,46,24,2,41,0,0,,19900227,1990,0,0,48,2,1,0.0,False
73,12,147,14,14,12,13,0,0,,19900227,1990,0,0,0,12,1,0.0,True
150,19,10,77,75,18,0,0,0,,19900227,1990,0,0,0,19,1,0.0,True
151,6,148,50,49,6,43,0,0,,19900227,1990,0,0,55,6,1,0.0,False
152,6,149,80,78,6,64,0,0,,19900228,1990,0,0,0,6,1,0.0,False
152,6,149,80,78,6,64,0,0,,19900228,1990,0,0,0,6,1,0.0,False
122,3,150,69,67,3,56,0,0,,19900228,1990,0,0,0,3,1,0.0,False
153,28,151,81,79,26,65,0,0,,19900228,1990,0,0,0,28,1,0.0,False
154,20,152,30,30,19,27,0,0,,19900301,1990,0,0,0,20,1,0.0,False
155,36,153,82,80,34,66,0,0,,19900301,1990,0,0,0,36,1,0.0,False
156,9,154,53,52,9,46,0,0,,19900301,1990,0,0,0,9,1,0.0,False
157,1,155,18,18,1,16,0,0,,19900302,1990,0,0,50,1,1,0.0,False
158,8,10,9,9,8,0,0,0,,19900302,1990,0,0,0,8,1,0.0,False
159,19,10,38,39,18,0,0,0,,19900302,1990,0,0,0,19,1,0.0,False
40,38,156,83,81,36,67,0,0,,19900302,1990,0,0,2,38,1,0.0,False
160,32,10,49,48,29,0,0,0,,19900305,1990,0,0,0,32,0,0.0,False
161,7,157,8,8,7,8,0,0,,19900305,1990,0,0,0,7,1,0.0,False
162,11,158,13,13,11,12,0,0,,19900305,1990,0,0,18,11,1,0.0,True
163,4,159,4,4,4,4,0,0,,19900306,1990,0,0,0,4,0,0.0,False
164,39,160,11,82,37,68,0,0,,19900306,1990,0,0,0,39,1,0.0,False
37,7,39,8,8,7,8,0,0,,19900306,1990,0,0,0,7,1,0.0,False
165,19,10,71,69,18,0,0,0,,19900307,1990,0,0,0,19,1,0.0,False
133,34,161,57,56,31,49,0,0,,19900307,1990,0,0,0,34,2,0.0,False
134,34,162,57,56,31,49,0,0,,19900307,1990,0,0,0,34,2,0.0,False
88,1,163,1,1,1,1,0,0,,19900307,1990,0,0,56,1,1,0.0,False
166,34,164,57,56,31,49,0,0,,19900307,1990,0,0,0,34,0,0.0,False
73,12,165,14,14,12,13,0,0,,19900307,1990,0,0,32,12,0,0.0,False
167,24,166,84,83,23,69,0,0,,19900308,1990,0,0,0,24,1,0.0,False
17,0,167,17,17,14,15,0,0,,19900308,1990,0,0,0,0,2,0.0,False
168,17,168,25,25,16,24,0,0,,19900308,1990,0,0,57,17,1,0.0,True
169,33,10,85,84,30,0,0,0,,19900308,1990,0,0,0,33,0,0.0,False
170,1,169,18,18,1,16,0,0,,19900308,1990,0,0,0,1,1,0.0,True
171,5,170,70,68,5,57,0,0,,19900309,1990,0,0,0,5,1,0.0,False
172,4,171,4,4,4,4,0,0,,19900309,1990,0,0,58,4,1,0.0,False
173,40,172,86,85,38,70,0,0,,19900309,1990,0,0,0,40,1,0.0,False
174,32,10,87,86,29,0,0,0,,19900312,1990,0,0,46,32,2,0.0,False
175,14,173,88,87,0,71,0,0,,19900312,1990,0,0,59,14,0,0.0,False
176,6,174,16,16,13,0,0,0,,19900312,1990,0,0,60,6,2,0.0,True
176,6,174,16,16,13,0,0,0,,19900312,1990,0,0,60,6,2,0.0,True
177,14,175,89,88,0,72,0,0,,19900312,1990,0,0,0,14,1,0.0,False
178,26,176,90,89,25,73,0,0,,19900312,1990,0,0,0,26,1,0.0,False
179,13,177,91,90,39,74,0,0,,19900313,1990,0,0,61,13,1,0.0,False
180,29,178,92,91,27,75,0,0,,19900313,1990,0,0,0,29,1,0.0,False
181,4,179,4,4,4,4,0,0,,19900313,1990,0,0,62,4,1,0.0,False
182,7,180,8,8,7,8,0,0,,19900314,1990,0,0,63,7,0,0.0,False
67,32,10,93,92,29,0,0,0,,19900314,1990,0,0,0,32,0,0.0,False
183,28,181,43,43,26,38,0,0,,19900314,1990,0,0,63,28,2,0.0,False
82,4,79,4,4,4,4,0,0,,19900314,1990,0,0,64,4,1,0.0,False
184,26,182,90,89,25,73,0,0,,19900314,1990,0,0,46,26,1,0.0,False
185,12,183,94,14,12,76,0,0,,19900314,1990,0,0,29,12,1,0.0,False
186,23,184,34,35,22,31,0,0,,19900314,1990,0,0,30,23,1,0.0,False
187,41,185,95,93,40,77,0,0,,19900314,1990,0,0,0,41,0,0.0,False
49,1,186,40,41,1,35,0,0,,19900315,1990,0,0,19,1,1,0.0,False
188,31,10,96,94,41,0,0,0,,19900315,1990,0,0,0,31,1,0.0,False
189,18,10,26,26,17,0,0,0,,19900315,1990,0,0,0,18,2,0.0,False
190,1,187,97,72,1,78,0,0,,19900315,1990,0,0,10,1,1,0.0,False
191,34,188,57,56,31,49,0,0,,19900316,1990,0,0,0,34,0,0.0,False
192,37,189,98,95,35,79,0,0,,19900316,1990,0,0,0,37,1,0.0,False
193,42,190,99,96,42,80,0,0,,19900316,1990,0,0,0,42,1,0.0,True
194,24,191,100,36,23,81,0,0,,19900316,1990,0,0,65,24,1,0.0,False
195,1,192,21,21,1,19,0,0,,19900316,1990,0,0,66,1,1,0.0,True
196,1,193,63,61,1,53,0,0,,19900316,1990,0,0,67,1,0,0.0,False
197,9,194,101,97,9,82,0,0,,19900319,1990,0,0,0,9,1,0.0,False
198,40,195,86,85,38,70,0,0,,19900319,1990,0,0,0,40,1,0.0,False
199,1,196,1,1,1,1,0,0,,19900319,1990,0,0,19,1,1,0.0,False
200,7,197,8,8,7,8,0,0,,19900319,1990,0,0,0,7,0,0.0,False
201,43,198,16,16,13,0,0,0,,19900319,1990,0,0,0,43,1,0.0,False
202,1,125,73,71,1,59,0,0,,19900319,1990,0,0,25,1,1,0.0,False
203,1,199,74,72,1,60,0,0,,19900319,1990,0,0,19,1,1,0.0,False
169,33,10,85,84,30,0,0,0,,19900320,1990,0,0,18,33,1,0.0,False
79,9,200,27,27,9,25,0,0,,19900320,1990,0,0,68,9,1,0.0,False
204,17,201,42,31,16,37,0,0,,19900320,1990,0,0,0,17,1,0.0,False
205,34,202,57,56,31,49,0,0,,19900321,1990,0,0,0,34,0,0.0,False
206,14,203,22,0,0,20,0,0,,19900321,1990,0,0,0,14,1,0.0,False
207,34,204,102,98,31,83,0,0,,19900321,1990,0,0,0,34,1,0.0,False
208,29,205,45,45,27,40,0,0,,19900321,1990,0,0,0,29,1,0.0,False
209,14,206,22,0,0,20,0,0,,19900321,1990,0,0,69,14,0,0.0,False
73,12,71,14,14,12,13,0,0,,19900321,1990,0,0,46,12,2,0.0,False
210,21,10,16,99,20,0,0,0,,19900322,1990,0,0,0,21,1,0.0,False
211,41,207,95,93,40,77,0,0,,19900322,1990,0,0,11,41,2,0.0,False
212,14,208,22,0,0,20,0,0,,19900322,1990,0,0,0,14,0,0.0,False
213,14,209,22,0,0,20,0,0,,19900322,1990,0,0,70,14,1,0.0,False
214,23,210,103,100,22,84,0,0,,19900322,1990,0,0,0,23,0,0.0,False
19,1,21,19,19,1,17,0,0,,19900322,1990,0,0,71,1,1,0.0,False
133,34,130,57,56,31,49,0,0,,19900323,1990,0,0,0,34,1,0.0,False
215,34,211,57,56,31,49,0,0,,19900323,1990,0,0,0,34,1,0.0,False
216,4,212,4,4,4,4,0,0,,19900323,1990,0,0,0,4,1,0.0,False
217,12,213,94,14,12,76,0,0,,19900323,1990,0,0,72,12,0,0.0,False
185,12,214,94,14,12,76,0,0,,19900323,1990,0,0,0,12,2,0.0,False
218,20,215,30,30,19,27,0,0,,19900323,1990,0,0,0,20,1,0.0,False
219,5,48,39,40,5,34,0,0,,19900323,1990,0,0,0,5,1,0.0,False
220,27,216,104,101,32,85,0,0,,19900323,1990,0,0,0,27,1,0.0,False
221,1,217,51,50,1,44,0,0,,19900323,1990,0,0,73,1,1,0.0,False
222,17,47,42,31,16,37,0,0,,19900326,1990,0,0,46,17,1,0.0,False
223,11,218,13,13,11,12,0,0,,19900326,1990,0,0,0,11,1,0.0,False
40,38,219,83,81,36,67,0,0,,19900326,1990,0,0,0,38,0,0.0,False
224,34,220,57,56,31,49,0,0,,19900326,1990,0,0,0,34,0,0.0,False
58,1,221,1,1,1,1,0,0,,19900327,1990,0,0,14,1,1,0.0,False
225,34,222,57,56,31,49,0,0,,19900327,1990,0,0,18,34,1,0.0,False
226,29,223,105,102,27,86,0,0,,19900327,1990,0,0,30,29,1,0.0,False
227,34,224,57,56,31,49,0,0,,19900327,1990,0,0,0,34,1,0.0,False
228,6,225,50,49,6,43,0,0,,19900327,1990,0,0,74,6,1,0.0,False
229,9,226,106,103,9,87,0,0,,19900327,1990,0,0,0,9,1,0.0,False
230,28,227,16,53,26,47,0,0,,19900327,1990,0,0,0,28,1,0.0,False
230,28,227,16,53,26,47,0,0,,19900327,1990,0,0,0,28,0,0.0,False
231,9,228,27,27,9,25,0,0,,19900327,1990,0,0,0,9,1,0.0,False
232,1,229,73,71,1,59,0,0,,19900327,1990,0,0,0,1,0,0.0,False
11,1,230,11,11,1,10,0,0,,19900327,1990,0,0,75,1,0,0.0,False
233,29,231,45,45,27,40,0,0,,19900328,1990,0,0,0,29,1,0.0,False
48,5,48,39,40,5,34,0,0,,19900328,1990,0,0,0,5,1,0.0,False
234,28,232,107,104,26,88,0,0,,19900328,1990,0,0,76,28,1,0.0,False
53,28,233,43,43,26,38,0,0,,19900328,1990,0,0,0,28,1,0.0,False
235,36,234,108,105,34,89,0,0,,19900328,1990,0,0,0,36,1,0.0,True
236,14,235,11,22,0,21,0,0,,19900328,1990,0,0,0,14,2,0.0,False
12,10,236,12,12,10,11,0,0,,19900329,1990,0,0,77,10,0,0.0,False
237,1,237,1,1,1,1,0,0,,19900329,1990,0,0,78,1,1,0.0,False
238,1,238,18,18,1,16,0,0,,19900330,1990,0,0,0,1,1,0.0,False
93,2,239,46,24,2,41,0,0,,19900330,1990,0,0,0,2,1,0.0,False
239,5,240,109,106,5,90,0,0,,19900330,1990,0,0,0,5,0,0.0,False
240,28,241,107,104,26,88,0,0,,19900330,1990,0,0,0,28,2,0.0,False
241,24,242,35,36,23,32,0,0,,19900330,1990,0,0,79,24,1,0.0,False
219,5,243,110,5,5,91,0,0,,19900330,1990,0,0,0,5,1,0.0,False
242,2,244,46,24,2,41,0,0,,19900402,1990,0,0,0,2,1,0.0,False
81,11,78,13,13,11,12,0,0,,19900402,1990,0,0,80,11,1,0.0,False
243,1,245,19,19,1,17,0,0,,19900402,1990,0,0,61,1,1,0.0,False
243,1,245,19,19,1,17,0,0,,19900402,1990,0,0,61,1,1,0.0,False
244,7,246,8,8,7,8,0,0,,19900403,1990,0,0,0,7,1,0.0,False
245,35,10,111,107,33,92,0,0,,19900403,1990,0,0,0,35,1,0.0,True
246,17,247,25,25,16,24,0,0,,19900403,1990,0,0,0,17,2,0.0,False
247,15,248,112,108,43,93,0,0,,19900404,1990,0,0,0,15,0,0.0,False
248,7,249,8,8,7,8,0,0,,19900404,1990,0,0,0,7,1,0.0,False
249,5,250,44,44,5,39,0,0,,19900404,1990,0,0,0,5,1,0.0,False
250,1,251,15,15,1,14,0,0,,19900404,1990,0,0,81,1,1,0.0,False
251,1,252,15,15,1,14,0,0,,19900404,1990,0,0,43,1,2,0.0,False
252,1,253,15,15,1,14,0,0,,19900404,1990,0,0,0,1,1,0.0,False
253,29,254,16,16,13,0,0,0,,19900404,1990,0,0,10,1,1,0.0,False
254,7,255,8,8,7,8,0,0,,19900404,1990,0,0,0,7,1,0.0,False
255,7,256,8,8,7,8,0,0,,19900405,1990,0,0,82,7,1,0.0,False
256,36,257,16,16,13,0,0,0,,19900405,1990,0,0,0,36,1,0.0,False
257,7,258,8,8,7,8,0,0,,19900406,1990,0,0,83,7,1,0.0,True
258,28,259,107,104,26,88,0,0,,19900406,1990,0,0,0,28,2,0.0,False
15,28,260,113,109,26,94,0,0,,19900406,1990,0,0,0,28,1,0.0,False
219,5,109,44,44,5,39,0,0,,19900409,1990,0,0,0,5,1,0.0,False
237,1,261,1,1,1,1,0,0,,19900409,1990,0,0,84,1,1,0.0,False
259,34,262,57,56,31,49,0,0,,19900409,1990,0,0,85,34,1,0.0,False
260,11,263,13,13,11,12,0,0,,19900410,1990,0,0,0,11,1,0.0,False
261,19,10,71,69,18,0,0,0,,19900410,1990,0,0,86,19,1,0.0,False
